,model,date,training_length,test_length,mae,msae,rho
14071,elastic_net,254,8640,96,9.813334330450006,151.37974311399435,0.8038212283728682
14072,naive_model,254,8640,96,16.133333333333336,413.2252416666667,0.938089650635178
14073,xgboost,254,8640,192,5.672576320171356,59.47806883830035,0.9348599369965688
14074,elastic_net,254,8640,192,9.284103384289606,136.4176127887594,0.836956480274529
14075,naive_model,254,8640,192,16.196822916666665,381.0957317708333,0.8915783784930174
14076,xgboost,254,8640,384,6.654733781019846,77.92392835612343,0.8343549695029392
14077,elastic_net,254,8640,384,11.825402284891515,220.81603617868183,0.7646010521655707
14078,naive_model,254,8640,384,14.30984375,314.1530921875,0.6400252810634826
14079,xgboost,254,8640,960,11.033466519991556,232.0567556377224,0.7727902970315377
14080,elastic_net,254,8640,960,12.963707015678484,296.19163803259505,0.7639808731953
14081,naive_model,254,8640,960,19.614812500000003,682.7316133333334,0.5437929871842688
14082,xgboost,255,2880,96,31.315463546117144,2786.7743038973185,0.7521119990252373
14083,elastic_net,255,2880,96,30.821931007928907,3300.2484488539776,0.7979381443298968
14084,naive_model,255,2880,96,39.12822916666666,4181.519644791667,0.6853228431904503
14085,xgboost,255,2880,192,35.075840977032975,3223.899581468117,0.7937931739242823
14086,elastic_net,255,2880,192,29.072750992535585,3014.3071005243146,0.8295732082080609
14087,naive_model,255,2880,192,29.273177083333334,2490.9309140625,0.7970575145283315
14088,xgboost,255,2880,384,27.62456796884537,1995.2511757952936,0.6558741026366629
14089,elastic_net,255,2880,384,24.57585500017807,1863.656324265832,0.7531971920643101
14090,naive_model,255,2880,384,30.83385416666667,2432.2613213541667,0.5971545196167156
14091,xgboost,255,2880,960,25.595631385405856,1429.6247907998743,0.7659028109950365
14092,elastic_net,255,2880,960,19.946791487779414,1169.1826138856943,0.8408840769432622
14093,naive_model,255,2880,960,26.090072916666667,1658.4488934375,0.6883928111635736
14094,xgboost,255,2880,2880,20.15451322686672,851.3530158563445,0.7244395526781935
14095,elastic_net,255,2880,2880,18.36121185405483,733.2398176330672,0.8179436482508237
14096,naive_model,255,2880,2880,23.56453819444444,1254.6231287152775,0.7136214846059107
